order_id,customer_id,order_date,country,total_amount
536365,17850.0,2010-12-01 08:26:00,United Kingdom,139.12
536366,17850.0,2010-12-01 08:28:00,United Kingdom,22.200000000000003
536367,13047.0,2010-12-01 08:34:00,United Kingdom,278.73
536368,13047.0,2010-12-01 08:34:00,United Kingdom,70.05000000000001
536369,13047.0,2010-12-01 08:35:00,United Kingdom,17.85
536370,12583.0,2010-12-01 08:45:00,France,855.86
536371,13748.0,2010-12-01 09:00:00,United Kingdom,204.0
536372,17850.0,2010-12-01 09:01:00,United Kingdom,22.200000000000003
536373,17850.0,2010-12-01 09:02:00,United Kingdom,259.86
536374,15100.0,2010-12-01 09:09:00,United Kingdom,350.4
536375,17850.0,2010-12-01 09:32:00,United Kingdom,259.86
536376,15291.0,2010-12-01 09:32:00,United Kingdom,328.8
536377,17850.0,2010-12-01 09:34:00,United Kingdom,22.200000000000003
536378,14688.0,2010-12-01 09:37:00,United Kingdom,444.98
536380,17809.0,2010-12-01 09:41:00,United Kingdom,34.8
536381,15311.0,2010-12-01 09:41:00,United Kingdom,449.98
536382,16098.0,2010-12-01 09:45:00,United Kingdom,430.6
536384,18074.0,2010-12-01 09:53:00,United Kingdom,489.6
536385,17420.0,2010-12-01 09:56:00,United Kingdom,130.85
536386,16029.0,2010-12-01 09:57:00,United Kingdom,508.20000000000005
536387,16029.0,2010-12-01 09:58:00,United Kingdom,3193.92
536388,16250.0,2010-12-01 09:59:00,United Kingdom,226.14
536389,12431.0,2010-12-01 10:03:00,Australia,358.25
536390,17511.0,2010-12-01 10:19:00,United Kingdom,1825.74
536392,13705.0,2010-12-01 10:29:00,United Kingdom,153.14
536393,13747.0,2010-12-01 10:37:00,United Kingdom,79.6
536394,13408.0,2010-12-01 10:39:00,United Kingdom,1024.68
536395,13767.0,2010-12-01 10:47:00,United Kingdom,507.88
536396,17850.0,2010-12-01 10:51:00,United Kingdom,376.36
536397,17924.0,2010-12-01 10:51:00,United Kingdom,279.0
536398,13448.0,2010-12-01 10:52:00,United Kingdom,426.56
536399,17850.0,2010-12-01 10:52:00,United Kingdom,22.200000000000003
536400,13448.0,2010-12-01 10:53:00,United Kingdom,17.4
536401,15862.0,2010-12-01 11:21:00,United Kingdom,354.23
536402,15513.0,2010-12-01 11:22:00,United Kingdom,357.0
536403,12791.0,2010-12-01 11:27:00,Netherlands,192.60000000000002
536404,16218.0,2010-12-01 11:29:00,United Kingdom,471.3
536405,14045.0,2010-12-01 11:32:00,United Kingdom,326.4
536406,17850.0,2010-12-01 11:33:00,United Kingdom,353.14
536407,17850.0,2010-12-01 11:34:00,United Kingdom,22.200000000000003
536408,14307.0,2010-12-01 11:41:00,United Kingdom,783.11
536409,17908.0,2010-12-01 11:45:00,United Kingdom,243.28
536412,17920.0,2010-12-01 11:49:00,United Kingdom,514.41
536415,12838.0,2010-12-01 11:57:00,United Kingdom,390.79
536416,13255.0,2010-12-01 11:58:00,United Kingdom,225.7
536420,16583.0,2010-12-01 12:03:00,United Kingdom,233.45
536423,18085.0,2010-12-01 12:08:00,United Kingdom,303.9
536425,13758.0,2010-12-01 12:08:00,United Kingdom,362.45
536437,13694.0,2010-12-01 12:12:00,United Kingdom,698.12
536446,15983.0,2010-12-01 12:15:00,United Kingdom,440.89
536460,14849.0,2010-12-01 12:22:00,United Kingdom,295.54
536463,14849.0,2010-12-01 12:22:00,United Kingdom,17.4
536464,17968.0,2010-12-01 12:23:00,United Kingdom,277.35
536466,14849.0,2010-12-01 12:23:00,United Kingdom,42.9
536477,16210.0,2010-12-01 12:27:00,United Kingdom,2474.7400000000002
536488,17897.0,2010-12-01 12:31:00,United Kingdom,165.89
536500,17377.0,2010-12-01 12:35:00,United Kingdom,223.9
536502,16552.0,2010-12-01 12:36:00,United Kingdom,95.29
536508,17181.0,2010-12-01 12:38:00,United Kingdom,155.52
536514,17951.0,2010-12-01 12:40:00,United Kingdom,295.5
536520,14729.0,2010-12-01 12:43:00,United Kingdom,313.49
536521,12748.0,2010-12-01 12:48:00,United Kingdom,4.95
536522,15012.0,2010-12-01 12:49:00,United Kingdom,191.06
536523,12868.0,2010-12-01 12:50:00,United Kingdom,203.3
536524,17572.0,2010-12-01 12:51:00,United Kingdom,70.80000000000001
