month,num_orders,num_customers,total_revenue,average_order_value,revenue_growth,order_growth,customer_growth
2010-12-01,1391,879,540225.38,388.3719482386772,,,
2011-01-01,975,733,445591.31,457.01672820512823,-17.51751648543428,-29.90654205607477,-16.609783845278724
2011-02-01,989,754,431341.55,436.1390798786653,-3.197943873725906,1.4358974358974264,2.8649386084584005
2011-03-01,1310,971,566286.6,432.2798473282443,31.28496431656074,32.45702730030333,28.77984084880636
2011-04-01,1137,852,424160.48,373.0523131046614,-25.09791331809723,-13.206106870229007,-12.255406797116375
2011-05-01,1536,1048,636210.29,414.19940755208336,49.99282582856377,35.092348284960416,23.004694835680752
2011-06-01,1383,988,595550.02,430.6218510484454,-6.391011060195206,-9.9609375,-5.72519083969466
2011-07-01,1323,945,589299.17,445.4264323507181,-1.049592778117947,-4.338394793926248,-4.352226720647778
2011-08-01,1270,932,619689.18,487.9442362204724,5.156974852009388,-4.006046863189717,-1.3756613756613745
2011-09-01,1745,1258,889071.77,509.49671633237824,43.47059763089618,37.40157480314961,34.9785407725322
2011-10-01,1911,1359,970579.42,507.89085295656724,9.16772444591285,9.512893982808013,8.028616852146264
2011-11-01,2640,1659,1121036.96,424.63521212121213,15.501826733560865,38.147566718995286,22.07505518763797
2011-12-01,766,611,315091.73,411.3469060052219,-71.89283304272145,-70.98484848484848,-63.17058468957203
